Developer,Global Sales,Releases,Critic Rating,User Rating,Sales Per Release,Average Critic Rating,Average User Rating,rating
EA Canada,175920000.0,190,14594,1286.1000000000004,925894.7368421053,76.8,6.8,very good
Ubisoft Montreal,157670000.0,133,9730,930.1999999999997,1185488.7218045113,73.2,7.0,good
Traveller's Tales,133840000.0,134,9568,971.5999999999997,998805.9701492537,71.4,7.3,good
EA Tiburon,127010000.0,133,10156,871.5999999999998,954962.4060150376,76.4,6.6,very good
Rockstar North,106630000.0,14,1255,113.90000000000002,7616428.571428572,89.6,8.1,excellent
Infinity Ward,83770000.0,20,1578,102.39999999999998,4188500.0,78.9,5.1,very good
Treyarch,83280000.0,35,2648,250.29999999999998,2379428.5714285714,75.7,7.2,very good
Visual Concepts,63610000.0,89,6853,578.7999999999998,714719.1011235955,77.0,6.5,very good
Capcom,62640000.0,139,10279,1069.3,450647.4820143885,73.9,7.7,good
Vicarious Visions,60980000.0,68,4997,459.8000000000002,896764.7058823529,73.5,6.8,good
EA Black Box,51460000.0,37,2768,279.1,1390810.810810811,74.8,7.5,good
Ubisoft Paris,46780000.0,57,3996,363.29999999999995,820701.754385965,70.1,6.4,good
Ubisoft,46190000.0,81,5437,554.6000000000001,570246.913580247,67.1,6.8,good
Neversoft Entertainment,45640000.0,39,3088,285.20000000000005,1170256.4102564103,79.2,7.3,very good
EA Redwood Shores,39080000.0,43,3277,321.0,908837.2093023256,76.2,7.5,very good
Harmonix Music Systems,37410000.0,36,2915,266.20000000000005,1039166.6666666666,81.0,7.4,very good
Square Enix,36340000.0,49,3687,376.3,741632.6530612245,75.2,7.7,very good
Naughty Dog,35750000.0,10,865,85.10000000000001,3575000.0,86.5,8.5,excellent
Konami,35650000.0,78,5260,557.6,457051.28205128206,67.4,7.1,good
Bethesda Game Studios,32800000.0,9,704,54.6,3644444.4444444445,78.2,6.1,very good
Maxis,32410000.0,43,3028,295.1,753720.9302325582,70.4,6.9,good
Bungie,30660000.0,14,1139,79.1,2190000.0,81.4,5.6,very good
Rockstar San Diego,30490000.0,19,1495,147.7,1604736.8421052631,78.7,7.8,very good
EA Sports,29090000.0,27,2219,179.3,1077407.4074074074,82.2,6.6,very good
EA Vancouver,28660000.0,14,1024,72.80000000000001,2047142.857142857,73.1,5.2,good
Namco,28370000.0,36,2706,283.80000000000007,788055.5555555555,75.2,7.9,very good
Omega Force,27180000.0,99,6327,735.7999999999998,274545.45454545453,63.9,7.4,good
Rocksteady Studios,25480000.0,12,999,98.19999999999999,2123333.3333333335,83.2,8.2,very good
Toys for Bob,25250000.0,34,2479,217.70000000000002,742647.0588235294,72.9,6.4,good
Konami Computer Entertainment Tokyo,24820000.0,19,1494,149.7,1306315.7894736843,78.6,7.9,very good
EA Los Angeles,24490000.0,18,1319,132.29999999999998,1360555.5555555555,73.3,7.3,good
Rainbow Studios,23330000.0,38,2557,272.29999999999995,613947.3684210526,67.3,7.2,good
EA DICE,22420000.0,15,1166,78.5,1494666.6666666667,77.7,5.2,very good
Rockstar Leeds,22200000.0,9,735,71.30000000000001,2466666.6666666665,81.7,7.9,very good
Eurocom Entertainment Software,20250000.0,38,2498,290.2999999999999,532894.7368421053,65.7,7.6,good
Rockstar Games,19710000.0,2,194,15.799999999999999,9855000.0,97.0,7.9,excellent
TT Fusion,19640000.0,41,2844,268.4,479024.39024390245,69.4,6.5,good
Codemasters,19520000.0,52,4041,362.09999999999997,375384.6153846154,77.7,7.0,very good
Volition Inc.,19170000.0,24,1783,174.79999999999998,798750.0,74.3,7.3,good
Gearbox Software,18890000.0,27,1926,195.99999999999997,699629.6296296297,71.3,7.3,good
Criterion Games,18860000.0,21,1764,163.70000000000002,898095.2380952381,84.0,7.8,very good
NetherRealm Studios,18510000.0,12,1002,94.49999999999999,1542500.0,83.5,7.9,very good
