Genre,Global Sales,Releases,Critic Rating,User Rating,Sales Per Release,Average Critic Rating,Average User Rating
Action,927350000.0,1538,101282,10720.500000000007,602958.3875162549,65.9,7.0
Sports,644390000.0,919,67032,6198.800000000013,701186.0718171926,72.9,6.7
Shooter,640530000.0,749,52674,5212.700000000005,855180.2403204272,70.3,7.0
Racing,352950000.0,640,43838,4421.5000000000055,551484.375,68.5,6.9
Misc,304650000.0,475,32006,3206.499999999998,641368.4210526316,67.4,6.8
Role-Playing,269140000.0,614,44169,4564.800000000001,438338.7622149837,71.9,7.4
Platform,253260000.0,519,35614,3702.6,487976.87861271674,68.6,7.1
Fighting,211920000.0,433,30176,3111.9999999999995,489422.63279445725,69.7,7.2
Adventure,186820000.0,516,34873,3664.7,362054.2635658915,67.6,7.1
Action-Adventure,135290000.0,187,13462,1252.8999999999999,723475.935828877,72.0,6.7
Simulation,121800000.0,263,18260,1841.5999999999995,463117.87072243344,69.4,7.0
Strategy,47050000.0,240,17069,1760.3999999999983,196041.66666666666,71.1,7.3
Puzzle,46910000.0,156,10752,1073.6000000000001,300705.1282051282,68.9,6.9
