name,developer,rank,platform,release_date,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,game_genre,game_url,game_url_string,meta_game_name,meta_critic_score,meta_critic_count,meta_user_score,meta_user_count,meta_esrb,meta_genre,meta_multiplayer,meta_full_url,release_year,is_series,Matched_Name
Grand Theft Auto V,Rockstar North  ,6,PS4,2014-11-18,Rockstar Games  ,6060000,9710000,600000,3020000,19390000.0,Action,https://www.vgchartz.com/game/83196/grand-theft-auto-v/?region=All,grand-theft-auto-v,Grand Theft Auto V,97,66.0,8.3,4691,M,Action Adventure,yes,https://www.metacritic.com/game/playstation-4/grand-theft-auto-v,2014,yes,Grand Theft Auto V Grand Theft Auto IV Grand Theft Auto 2 Grand Theft Auto Grand Theft Auto III Grand Theft Auto Online Grand Theft Auto: Vice City Grand Theft Auto: San Andreas
Grand Theft Auto V,Rockstar North  ,19,XOne,2014-11-18,Rockstar Games  ,4700000,3250000,10000,760000,8720000.0,Action,https://www.vgchartz.com/game/73074/grand-theft-auto-v/?region=All,grand-theft-auto-v,Grand Theft Auto V,97,14.0,7.8,1074,M,Action Adventure,yes,https://www.metacritic.com/game/xbox-one/grand-theft-auto-v,2014,yes,Grand Theft Auto V Grand Theft Auto IV Grand Theft Auto 2 Grand Theft Auto Grand Theft Auto III Grand Theft Auto Online Grand Theft Auto: Vice City Grand Theft Auto: San Andreas
Uncharted: The Lost Legacy,Naughty Dog  ,128,PS4,2017-08-22,Sony Interactive Entertainment  ,580000,1380000,40000,360000,2370000.0,Action,https://www.vgchartz.com/game/147591/uncharted-the-lost-legacy/?region=All,uncharted-the-lost-legacy,Uncharted: The Lost Legacy,84,104.0,7.9,1202,T,Action,yes,https://www.metacritic.com/game/playstation-4/uncharted-the-lost-legacy,2017,no,none
Metal Gear Solid V: The Phantom Pain,Kojima Productions  ,96,PS4,2015-09-01,Konami Digital Entertainment  ,970000,1150000,500000,420000,3040000.0,Action,https://www.vgchartz.com/game/73202/metal-gear-solid-v-the-phantom-pain/?region=All,metal-gear-solid-v-the-phantom-pain,Metal Gear Solid V: The Phantom Pain,93,86.0,8.2,5086,M,Modern,yes,https://www.metacritic.com/game/playstation-4/metal-gear-solid-v-the-phantom-pain,2015,no,none
Metal Gear Solid V: The Phantom Pain,Kojima Productions  ,427,XOne,2015-09-01,Konami Digital Entertainment  ,490000,250000,20000,70000,830000.0,Action,https://www.vgchartz.com/game/73075/metal-gear-solid-v-the-phantom-pain/?region=All,metal-gear-solid-v-the-phantom-pain,Metal Gear Solid V: The Phantom Pain,95,10.0,7.4,1105,M,Modern,yes,https://www.metacritic.com/game/xbox-one/metal-gear-solid-v-the-phantom-pain,2015,no,none
Metal Gear Solid V: The Definitive Experience,Kojima Productions  ,1104,PS4,2016-10-11,Konami Digital Entertainment  ,130000,80000,30000,40000,290000.0,Action,https://www.vgchartz.com/game/132807/metal-gear-solid-v-the-definitive-experience/?region=All,metal-gear-solid-v-the-definitive-experience,Metal Gear Solid V: The Definitive Experience,56,45.0,7.8,47,M,Miscellaneous,yes,https://www.metacritic.com/game/playstation-4/metal-gear-solid-v-the-definitive-experience,2016,no,none
Metal Gear Solid V: The Definitive Experience,Kojima Productions  ,1936,XOne,2016-10-11,Konami Digital Entertainment  ,100000,0,0,10000,110000.0,Action,https://www.vgchartz.com/game/132808/metal-gear-solid-v-the-definitive-experience/?region=All,metal-gear-solid-v-the-definitive-experience,Metal Gear Solid V: The Definitive Experience,44,45.0,7.2,10,M,Miscellaneous,no,https://www.metacritic.com/game/xbox-one/metal-gear-solid-v-the-definitive-experience,2016,no,none
Uncharted: The Nathan Drake Collection,Bluepoint Games  ,31,PS4,2015-10-07,Sony Computer Entertainment  ,2550000,2110000,100000,940000,5700000.0,Action,https://www.vgchartz.com/game/85628/uncharted-the-nathan-drake-collection/?region=All,uncharted-the-nathan-drake-collection,Uncharted: The Nathan Drake Collection,86,78.0,8.5,2072,T,Miscellaneous,no,https://www.metacritic.com/game/playstation-4/uncharted-the-nathan-drake-collection,2015,no,none
Lego Marvel Super Heroes,Traveller's Tales  ,163,PS4,2013-11-15,Warner Bros. Interactive Entertainment  ,590000,1000000,10000,300000,1910000.0,Action,https://www.vgchartz.com/game/75411/lego-marvel-super-heroes/?region=All,lego-marvel-super-heroes,LEGO Marvel Super Heroes,83,22.0,7.7,324,E10+,Action Adventure,no,https://www.metacritic.com/game/playstation-4/lego-marvel-super-heroes,2013,yes,Lego Marvel Super Heroes LEGO Marvel Super Heroes 2 Marvel Super Hero Squad
LEGO Dimensions,Traveller's Tales  ,293,PS4,2015-09-27,Warner Bros. Interactive Entertainment  ,480000,500000,0,200000,1180000.0,Action,https://www.vgchartz.com/game/85349/lego-dimensions/?region=All,lego-dimensions,LEGO Dimensions,80,53.0,7.1,79,E10+,Action Adventure,yes,https://www.metacritic.com/game/playstation-4/lego-dimensions,2015,yes,LEGO Dimensions Lost Dimension
