Game,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date,Unnamed: 0,Watch_time,Stream_time,Peak_viewers,Peak_channels,Streamers,Average_viewers,Average_channels,Average_viewer_ratio
.hack//G.U. Last Recode,240000.0,100000.0,40000.0,80000.0,30000.0,76.0,7.8,2017-11-03,2206,18090720,5071920,2693,297,7584,33,8,10.08
007 Legends,340000.0,110000.0,170000.0,0.0,60000.0,41.0,4.1,2012-10-16,22775,12480,6960,17,2,24,0,0,1.79
1 vs. 100,90000.0,80000.0,0.0,0.0,10000.0,38.0,3.2,2008-06-30,23058,10800,720,26,1,2,0,0,15.0
2002 FIFA World Cup,780000.0,350000.0,210000.0,160000.0,70000.0,76.0,6.7,2002-04-22,19606,38280,1080,214,2,9,0,0,35.44
2014 FIFA World Cup Brazil,1100000.0,300000.0,650000.0,10000.0,130000.0,73.5,4.4,2014-04-15,21527,21840,3420,183,1,14,0,0,6.39
24: The Game,300000.0,150000.0,120000.0,0.0,40000.0,62.0,8.1,2006-02-28,12405,258720,6300,535,2,16,0,0,81.87
3D Dot Game Heroes,570000.0,360000.0,120000.0,30000.0,70000.0,77.0,8.1,2010-05-11,4477,4538520,90780,4586,8,196,6,0,229.99
50 Cent: Blood on the Sand,210000.0,120000.0,70000.0,0.0,20000.0,71.0,6.2,2009-02-24,5836,2369340,29340,5719,7,99,3,0,346.2100000000001
50 Cent: Bulletproof,2210000.0,1180000.0,860000.0,0.0,180000.0,48.5,6.1,2005-11-17,13785,179280,25800,521,7,78,0,0,33.74
7 Days to Die,330000.0,180000.0,100000.0,0.0,40000.0,40.0,5.6,2016-06-28,96,1934255280,165267900,129420,1816,198801,3677,311,46.52
A Boy and His Blob,210000.0,180000.0,10000.0,0.0,20000.0,80.0,8.4,2009-10-13,4446,4599660,359220,17242,31,1193,7,0,89.03999999999998
A Way Out,720000.0,400000.0,210000.0,0.0,100000.0,78.5,7.8,2018-03-23,281,506677440,15115800,291408,1623,59907,963,28,60.2
A Witch's Tale,110000.0,80000.0,0.0,30000.0,10000.0,50.0,7.0,2009-10-06,23169,10260,2040,86,1,4,0,0,5.03
APB Reloaded,40000.0,20000.0,10000.0,0.0,0.0,56.0,5.8,2011-12-01,494,219948660,27611520,60658,216,30855,416,50,39.36
