name,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date
.hack//G.U. Last Recode,240000.0,100000.0,40000.0,80000.0,30000.0,76.0,7.8,2017-11-03
.hack//Infection Part 1,1270000.0,490000.0,380000.0,260000.0,130000.0,75.0,8.3,2003-02-11
007 Legends,340000.0,110000.0,170000.0,0.0,60000.0,41.0,4.1,2012-10-16
007 Racing,530000.0,300000.0,200000.0,0.0,30000.0,51.0,4.6,2000-11-20
007: Quantum of Solace,3300000.0,1550000.0,1310000.0,40000.0,400000.0,63.5,6.7,2008-11-04
007: The World is not Enough,920000.0,510000.0,350000.0,0.0,60000.0,61.0,6.7,2000-11-06
1 vs. 100,90000.0,80000.0,0.0,0.0,10000.0,38.0,3.2,2008-06-30
18 Wheeler: American Pro Trucker,400000.0,200000.0,150000.0,0.0,50000.0,61.0,5.6,2001-11-14
187: Ride or Die,210000.0,120000.0,70000.0,0.0,20000.0,51.5,7.0,2005-08-23
2002 FIFA World Cup,780000.0,350000.0,210000.0,160000.0,70000.0,76.0,6.7,2002-04-22
2010 FIFA World Cup South Africa,2120000.0,620000.0,1020000.0,110000.0,380000.0,73.7,7.3,2010-04-27
2014 FIFA World Cup Brazil,1100000.0,300000.0,650000.0,10000.0,130000.0,73.5,4.4,2014-04-15
24: The Game,300000.0,150000.0,120000.0,0.0,40000.0,62.0,8.1,2006-02-28
25 To Life,420000.0,350000.0,10000.0,0.0,60000.0,39.0,4.9,2006-01-17
300: March to Glory,410000.0,270000.0,80000.0,0.0,70000.0,55.0,6.8,2007-02-27
3D Dot Game Heroes,570000.0,360000.0,120000.0,30000.0,70000.0,77.0,8.1,2010-05-11
428: Shibuya Scramble,20000.0,10000.0,0.0,10000.0,0.0,85.0,7.5,2018-09-04
4X4 EVO 2,240000.0,180000.0,50000.0,0.0,10000.0,59.0,5.8,2001-11-14
50 Cent: Blood on the Sand,210000.0,120000.0,70000.0,0.0,20000.0,71.0,6.2,2009-02-24
