,game,Watch_time,Stream_time,Peak_viewers,Peak_channels,Streamers,Average_viewers,Average_channels,Average_viewer_ratio,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date
0,fortnite,149623513560,9327850080,3219981,105958,7502589,284703,17748,67.95,1680000.0,1020000.0,430000.0,0.0,230000.0,81.3,3.4,2017-07-21
1,playerunknown's battlegrounds,74638243080,2566294320,1344694,14130,1847205,142019,4882,210.63,330000.0,130000.0,150000.0,0.0,50000.0,72.0,3.4,2018-12-07
2,overwatch,60273897480,2261860440,1415140,19226,2481225,114632,4299,107.2,8180000.0,3840000.0,3120000.0,170000.0,1050000.0,90.7,6.3,2016-05-24
3,grand theft auto v,53277442260,1206555540,620929,8375,1942035,106307,2794,161.32999999999996,64290000.0,26190000.0,28140000.0,1660000.0,8320000.0,97.0,8.2,2013-09-17
4,minecraft,23806348680,1182557880,558962,8066,1982171,57870,2850,99.51,14850000.0,4320000.0,6720000.0,1600000.0,2220000.0,86.3,6.9,2014-10-07
5,tom clancy's rainbow six: siege,20266484340,1483966620,646326,8008,2095447,44545,3118,73.18,7370000.0,3090000.0,2990000.0,360000.0,920000.0,75.3,7.2,2015-12-01
6,dead by daylight,14354165820,678317880,250868,3987,560775,27311,1289,64.13,340000.0,190000.0,90000.0,20000.0,50000.0,61.0,6.0,2017-06-20
7,destiny 2,11372967420,874542360,876536,29525,840027,21638,1662,38.9,4300000.0,2010000.0,1490000.0,100000.0,700000.0,84.0,4.4,2017-09-06
8,rocket league,10188018720,572662860,772297,3246,1185067,21306,1273,81.57,3800000.0,1100000.0,2250000.0,0.0,450000.0,86.0,8.2,2016-07-05
9,fifa 19,8627574840,190977780,451888,3834,331272,16415,363,95.18,12160000.0,1580000.0,8870000.0,160000.0,1560000.0,75.2,2.4,2018-09-28
10,destiny,7722921960,940339440,393305,12685,700093,21927,2463,37.06,10840000.0,5390000.0,3640000.0,290000.0,1520000.0,77.7,5.4,2014-09-09
11,sea of thieves,6177656040,206536680,388610,6451,270136,11754,392,69.76,960000.0,600000.0,270000.0,0.0,90000.0,69.0,5.0,2018-03-20
12,fifa 18,5078596680,132399720,246821,2801,272690,9662,251,91.01,16120000.0,2600000.0,11190000.0,280000.0,2030000.0,79.0,3.8,2017-09-29
13,fifa 17,4934800320,112889820,247848,1893,234727,9380,213,200.47,4530000.0,1240000.0,2960000.0,0.0,330000.0,83.5,3.6,2016-09-27
14,street fighter v,4675465740,67968660,618779,760,68412,9480,134,292.19000000000005,1460000.0,640000.0,480000.0,120000.0,220000.0,75.5,3.4,2016-02-16
15,tom clancy's the division,4496392740,325259820,380218,8591,540729,14075,693,112.62,4850000.0,1750000.0,2220000.0,160000.0,730000.0,79.5,6.5,2016-03-08
